	fluxes	reduced_costs
R02737__cytop	0.0	1525.1756806025628
R00342__pero	0.0	-1.9999999999997726
R03503__cytop	0.0	2166.7635209038817
R08249__cytop	0.0	-2.0
R05070__chlo	0.0007824402671852113	-2.0
R03636__cytop	0.0	-2.0
DM_photon450__chlo	0.7248594036472397	-2.0
R00967__nucl	0.0	-2.0
R02558__vacu	0.0	-2.0
R01716__cytop	1.926712716806764e-06	-2.0
EX_C05143__dra	0.0	1452.1756806025987
TI3001537_PLAS__plas	0.0	28739.288385184227
R00289__cytop	0.0065729195081391635	-2.0
R02094__cytop	0.0023938735574107407	-2.0
TO0000367_PLAS__vacmem	0.0	-2.0
R04391__mito	0.0	-2.0
R01547__nucl	0.0	-2.0
R02558__e_r_	0.0	-2.0
R08286__cytop	0.0	-2.0
T_MAL_L__permem	0.0	2.0
R07084__chlo	0.0	-2.0
R01132__cytop	0.0	2174.7635209038817
R08409__chlo	2.5523643001024676	-1.9999999999985931
